u,v,key,osmid,oneway,lanes,ref,highway,length,name,maxspeed,bridge,junction,access,tunnel,width,service,maxspeed_new,speedcolor
498397189,3429867583,0,335875795,True,1,58,primary,55.488,,89.99999999999999,,,,,,,89.99999999999999,#21908d
514423321,360357202,0,4670076,False,4,66,primary,53.166,Komlói út,49.99999999999999,,,,,,,49.99999999999999,#440154
514423321,514423678,0,204479851,True,1,,primary_link,72.38,,,,,,,,,40.0,#440154
514423321,1810157556,0,"[42860179, 450896664, 450896665, 41758493, 437249963, 375201332, 8283572, 293140533, 293140534, 261070780, 588383423, 41763264, 588383424, 888144834, 888144835, 588383425, 563660487, 330830801, 41808888, 588586846, 518338399, 42749538, 518338405, 312341111, 518338414, 375201783, 375201784, 41808635]",False,"['5', '4']",66,primary,9525.610999999997,Komlói út,54.1447145494204,,,,,,,54.1447145494204,#481467
514423678,2144827023,0,"[521085122, 261070782]",True,2,6,primary,155.70000000000002,Zsolnay Vilmos utca,49.99999999999999,,,,,,,49.99999999999999,#440154
514433434,360357202,0,4669036,False,5,6,primary,51.45,Pécsváradi út,50.0,,,,,,,50.0,#440154
514433434,514423321,0,41757677,True,1,,primary_link,71.32000000000001,,49.99999999999999,,,,,,,49.99999999999999,#440154
514433434,1798431906,0,"[312341120, 312341121, 312341124, 312341125, 312341126, 312341127, 312341128, 312341130, 312341131, 312341132, 312341133, 220025544, 312341112, 312341114, 312341115, 312341116, 312341117, 312341118, 312341119]",False,"['5', '6', '4']",6,primary,983.7919999999999,Pécsváradi út,67.32841238068745,,,,,,,67.32841238068745,#3f4889
516010292,15488759,0,220025534,False,3,57,primary,40.63,Maléter Pál út,50.0,,,,,,,50.0,#440154
516010292,516010810,0,41806300,True,1,,primary_link,37.505,,50.00000000000001,,,,,,,50.00000000000001,#440154
516010292,21745761,0,"[220025536, 78174918, 356925068, 356925069, 281158062, 356925070, 356925071, 356925072, 356925073, 220025535, 280373396, 4059602, 220025558, 356925046, 41810200, 356925041, 518338172, 41809567]",False,"['5', '2', '4', '3']",57,primary,1429.8790000000004,Maléter Pál út,50.0,,,,,,,50.0,#440154
516010810,15488759,0,41806206,False,5,58,primary,33.682,Siklósi út,50.00000000000001,,,,,,,50.00000000000001,#440154
516010810,1446273385,0,"[326353376, 326353377, 326353378, 326353379, 313934022, 313934023, 313934024, 313934026, 313934041, 313934045, 335743743]",False,"['5', '4']",58,primary,889.4950000000001,II. János Pál út,81.22742153936528,,,,,,,81.22742153936528,#2b758e
516011080,15488759,0,4059603,False,3,57,primary,35.498999999999995,Kanizsai Dorottya út,49.99999999999999,,,,,,,49.99999999999999,#440154
516011080,516011826,0,41806344,True,1,,primary_link,36.048,,,,,,,,,40.0,#440154
516011080,686550310,0,"[356925057, 356925058, 356925059, 356925060, 356925061, 356925062, 356925063, 356925064, 356925065, 356925066, 356925067, 41853187, 290182145, 41806377, 290182146, 354411057, 220025531, 261401188, 326353380, 326353381, 356925036, 356925047, 356925049, 356925053, 356925055]",False,"['2', '4', '3']",57,primary,3594.5649999999996,Kanizsai Dorottya út,75.67900356273732,yes,,,,,,75.67900356273732,#32658e
516011826,15488759,0,220025546,False,5,58,primary,36.185,Siklósi út,49.99999999999999,,,,,,,49.99999999999999,#440154
516011826,516010292,0,41806285,True,1,,primary_link,67.376,,,,,,,,,40.0,#440154
516011826,351665180,0,"[76739147, 220025547, 518338260, 313669370, 220025550, 496134687, 220025551, 41809315, 220025552, 313669322, 261385816, 380226225, 75513394, 41809335, 313669326, 313669310, 518338254, 110247489, 521085121, 313669316, 3551813, 313669321, 337381449, 313669323, 313669324, 220025548, 313669325, 313669327, 313669328, 261253840, 313669330, 313669331, 313669332, 313669333, 313669334, 313669335, 313669329, 313669337, 313669338, 313669339, 313669340, 313669341, 313669342, 313669336, 313669344, 313669345, 313669346, 81147234, 313669348, 261410791, 261073255, 518338170]",False,"['5', '6', '4', '3']",58,primary,2857.484,"['Alsómalom utca', 'Árpád híd', 'Siklósi út']",52.59162512621777,yes,,,,,,52.59162512621777,#470d60
686550306,686550308,0,54511342,True,1,57,primary,8.674,,90.0,,roundabout,,,,,90.0,#21918c
686550307,686550306,0,54511342,True,1,57,primary,26.448,,90.0,,roundabout,,,,,90.0,#21918c
686550307,686550310,0,204479877,True,1,57,primary,52.908,,90.0,,,,,,,90.0,#21918c
